,Survived,Pclass,Sex,Age,SibSp,Parch,Category,group_age,Age_group
33,0,2,male,66.0,0,0,Man,Seniors,"(60, 70]"
34,0,1,male,28.0,1,0,Man,Adults,"(20, 30]"
35,0,1,male,42.0,1,0,Man,Seniors,"(40, 50]"
36,1,3,male,25.0,0,0,Man,Adults,"(20, 30]"
37,0,3,male,21.0,0,0,Man,Adults,"(20, 30]"
38,0,3,female,18.0,2,0,Woman,Childs,"(10, 20]"
39,1,3,female,14.0,1,0,child,Childs,"(10, 20]"
40,0,3,female,40.0,1,0,Woman,Adults,"(30, 40]"
41,0,2,female,27.0,1,0,Woman,Adults,"(20, 30]"
42,0,3,male,25.0,0,0,Man,Adults,"(20, 30]"
43,1,2,female,3.0,1,2,child,Childs,"(0, 10]"
44,1,3,female,19.0,0,0,Woman,Adults,"(10, 20]"
45,0,3,male,25.0,0,0,Man,Adults,"(20, 30]"
46,0,3,male,25.0,1,0,Man,Adults,"(20, 30]"
47,1,3,female,21.5,0,0,Woman,Adults,"(20, 30]"
48,0,3,male,25.0,2,0,Man,Adults,"(20, 30]"
49,0,3,female,18.0,1,0,Woman,Childs,"(10, 20]"
50,0,3,male,7.0,4,1,child,Childs,"(0, 10]"
51,0,3,male,21.0,0,0,Man,Adults,"(20, 30]"
52,1,1,female,49.0,1,0,Woman,Seniors,"(40, 50]"
53,1,2,female,29.0,1,0,Woman,Adults,"(20, 30]"
54,0,1,male,65.0,0,1,Man,Seniors,"(60, 70]"
55,1,1,male,40.0,0,0,Man,Adults,"(30, 40]"
56,1,2,female,21.0,0,0,Woman,Adults,"(20, 30]"
57,0,3,male,28.5,0,0,Man,Adults,"(20, 30]"
58,1,2,female,5.0,1,2,child,Childs,"(0, 10]"
59,0,3,male,11.0,5,2,child,Childs,"(10, 20]"
60,0,3,male,22.0,0,0,Man,Adults,"(20, 30]"
61,1,1,female,38.0,0,0,Woman,Adults,"(30, 40]"
62,0,1,male,45.0,1,0,Man,Seniors,"(40, 50]"
63,0,3,male,4.0,3,2,child,Childs,"(0, 10]"
64,0,1,male,40.0,0,0,Man,Adults,"(30, 40]"
65,1,3,male,25.0,1,1,Man,Adults,"(20, 30]"
66,1,2,female,29.0,0,0,Woman,Adults,"(20, 30]"
67,0,3,male,19.0,0,0,Man,Adults,"(10, 20]"
68,1,3,female,17.0,4,2,child,Childs,"(10, 20]"
69,0,3,male,26.0,2,0,Man,Adults,"(20, 30]"
70,0,2,male,32.0,0,0,Man,Adults,"(30, 40]"
71,0,3,female,16.0,5,2,child,Childs,"(10, 20]"
72,0,2,male,21.0,0,0,Man,Adults,"(20, 30]"
73,0,3,male,26.0,1,0,Man,Adults,"(20, 30]"
74,1,3,male,32.0,0,0,Man,Adults,"(30, 40]"
75,0,3,male,25.0,0,0,Man,Adults,"(20, 30]"
76,0,3,male,25.0,0,0,Man,Adults,"(20, 30]"
77,0,3,male,25.0,0,0,Man,Adults,"(20, 30]"
78,1,2,male,0.83,0,2,child,Childs,"(0, 10]"
79,1,3,female,30.0,0,0,Woman,Adults,"(20, 30]"
80,0,3,male,22.0,0,0,Man,Adults,"(20, 30]"
81,1,3,male,29.0,0,0,Man,Adults,"(20, 30]"
82,1,3,female,21.5,0,0,Woman,Adults,"(20, 30]"
83,0,1,male,28.0,0,0,Man,Adults,"(20, 30]"
84,1,2,female,17.0,0,0,child,Childs,"(10, 20]"
85,1,3,female,33.0,3,0,Woman,Adults,"(30, 40]"
86,0,3,male,16.0,1,3,child,Childs,"(10, 20]"
87,0,3,male,25.0,0,0,Man,Adults,"(20, 30]"
88,1,1,female,23.0,3,2,Woman,Adults,"(20, 30]"
89,0,3,male,24.0,0,0,Man,Adults,"(20, 30]"
90,0,3,male,29.0,0,0,Man,Adults,"(20, 30]"
91,0,3,male,20.0,0,0,Man,Adults,"(10, 20]"
92,0,1,male,46.0,1,0,Man,Seniors,"(40, 50]"
93,0,3,male,26.0,1,2,Man,Adults,"(20, 30]"
94,0,3,male,59.0,0,0,Man,Seniors,"(50, 60]"
95,0,3,male,25.0,0,0,Man,Adults,"(20, 30]"
96,0,1,male,71.0,0,0,Man,Seniors,"(70, 80]"
97,1,1,male,23.0,0,1,Man,Adults,"(20, 30]"
98,1,2,female,34.0,0,1,Woman,Adults,"(30, 40]"
99,0,2,male,34.0,1,0,Man,Adults,"(30, 40]"
100,0,3,female,28.0,0,0,Woman,Adults,"(20, 30]"
101,0,3,male,25.0,0,0,Man,Adults,"(20, 30]"
102,0,1,male,21.0,0,1,Man,Adults,"(20, 30]"
103,0,3,male,33.0,0,0,Man,Adults,"(30, 40]"
104,0,3,male,37.0,2,0,Man,Adults,"(30, 40]"
105,0,3,male,28.0,0,0,Man,Adults,"(20, 30]"
106,1,3,female,21.0,0,0,Woman,Adults,"(20, 30]"
107,1,3,male,25.0,0,0,Man,Adults,"(20, 30]"
108,0,3,male,38.0,0,0,Man,Adults,"(30, 40]"
109,1,3,female,21.5,1,0,Woman,Adults,"(20, 30]"
110,0,1,male,47.0,0,0,Man,Seniors,"(40, 50]"
111,0,3,female,14.5,1,0,child,Childs,"(10, 20]"
112,0,3,male,22.0,0,0,Man,Adults,"(20, 30]"
113,0,3,female,20.0,1,0,Woman,Adults,"(10, 20]"
114,0,3,female,17.0,0,0,child,Childs,"(10, 20]"
115,0,3,male,21.0,0,0,Man,Adults,"(20, 30]"
116,0,3,male,70.5,0,0,Man,Seniors,"(70, 80]"
117,0,2,male,29.0,1,0,Man,Adults,"(20, 30]"
118,0,1,male,24.0,0,1,Man,Adults,"(20, 30]"
119,0,3,female,2.0,4,2,child,Childs,"(0, 10]"
120,0,2,male,21.0,2,0,Man,Adults,"(20, 30]"
121,0,3,male,25.0,0,0,Man,Adults,"(20, 30]"
122,0,2,male,32.5,1,0,Man,Adults,"(30, 40]"
123,1,2,female,32.5,0,0,Woman,Adults,"(30, 40]"
124,0,1,male,54.0,0,1,Man,Seniors,"(50, 60]"
125,1,3,male,12.0,1,0,child,Childs,"(10, 20]"
126,0,3,male,25.0,0,0,Man,Adults,"(20, 30]"
127,1,3,male,24.0,0,0,Man,Adults,"(20, 30]"
128,1,3,female,21.5,1,1,Woman,Adults,"(20, 30]"
129,0,3,male,45.0,0,0,Man,Seniors,"(40, 50]"
130,0,3,male,33.0,0,0,Man,Adults,"(30, 40]"
131,0,3,male,20.0,0,0,Man,Adults,"(10, 20]"
132,0,3,female,47.0,1,0,Woman,Seniors,"(40, 50]"
133,1,2,female,29.0,1,0,Woman,Adults,"(20, 30]"
134,0,2,male,25.0,0,0,Man,Adults,"(20, 30]"
135,0,2,male,23.0,0,0,Man,Adults,"(20, 30]"
136,1,1,female,19.0,0,2,Woman,Adults,"(10, 20]"
137,0,1,male,37.0,1,0,Man,Adults,"(30, 40]"
138,0,3,male,16.0,0,0,child,Childs,"(10, 20]"
139,0,1,male,24.0,0,0,Man,Adults,"(20, 30]"
140,0,3,female,21.5,0,2,Woman,Adults,"(20, 30]"
141,1,3,female,22.0,0,0,Woman,Adults,"(20, 30]"
142,1,3,female,24.0,1,0,Woman,Adults,"(20, 30]"
143,0,3,male,19.0,0,0,Man,Adults,"(10, 20]"
144,0,2,male,18.0,0,0,Man,Childs,"(10, 20]"
145,0,2,male,19.0,1,1,Man,Adults,"(10, 20]"
146,1,3,male,27.0,0,0,Man,Adults,"(20, 30]"
147,0,3,female,9.0,2,2,child,Childs,"(0, 10]"
148,0,2,male,36.5,0,2,Man,Adults,"(30, 40]"
149,0,2,male,42.0,0,0,Man,Seniors,"(40, 50]"
150,0,2,male,51.0,0,0,Man,Seniors,"(50, 60]"
151,1,1,female,22.0,1,0,Woman,Adults,"(20, 30]"
152,0,3,male,55.5,0,0,Man,Seniors,"(50, 60]"
153,0,3,male,40.5,0,2,Man,Seniors,"(40, 50]"
154,0,3,male,25.0,0,0,Man,Adults,"(20, 30]"
155,0,1,male,51.0,0,1,Man,Seniors,"(50, 60]"
156,1,3,female,16.0,0,0,child,Childs,"(10, 20]"
157,0,3,male,30.0,0,0,Man,Adults,"(20, 30]"
158,0,3,male,25.0,0,0,Man,Adults,"(20, 30]"
159,0,3,male,25.0,8,2,Man,Adults,"(20, 30]"
160,0,3,male,44.0,0,1,Man,Seniors,"(40, 50]"
161,1,2,female,40.0,0,0,Woman,Adults,"(30, 40]"
162,0,3,male,26.0,0,0,Man,Adults,"(20, 30]"
163,0,3,male,17.0,0,0,child,Childs,"(10, 20]"
164,0,3,male,1.0,4,1,child,Childs,"(0, 10]"
165,1,3,male,9.0,0,2,child,Childs,"(0, 10]"
166,1,1,female,35.0,0,1,Woman,Adults,"(30, 40]"
167,0,3,female,45.0,1,4,Woman,Seniors,"(40, 50]"
168,0,1,male,40.0,0,0,Man,Adults,"(30, 40]"
169,0,3,male,28.0,0,0,Man,Adults,"(20, 30]"
170,0,1,male,61.0,0,0,Man,Seniors,"(60, 70]"
171,0,3,male,4.0,4,1,child,Childs,"(0, 10]"
172,1,3,female,1.0,1,1,child,Childs,"(0, 10]"
173,0,3,male,21.0,0,0,Man,Adults,"(20, 30]"
174,0,1,male,56.0,0,0,Man,Seniors,"(50, 60]"
175,0,3,male,18.0,1,1,Man,Childs,"(10, 20]"
176,0,3,male,25.0,3,1,Man,Adults,"(20, 30]"
177,0,1,female,50.0,0,0,Woman,Seniors,"(40, 50]"
178,0,2,male,30.0,0,0,Man,Adults,"(20, 30]"
179,0,3,male,36.0,0,0,Man,Adults,"(30, 40]"
180,0,3,female,21.5,8,2,Woman,Adults,"(20, 30]"
181,0,2,male,30.0,0,0,Man,Adults,"(20, 30]"
182,0,3,male,9.0,4,2,child,Childs,"(0, 10]"
183,1,2,male,1.0,2,1,child,Childs,"(0, 10]"
184,1,3,female,4.0,0,2,child,Childs,"(0, 10]"
185,0,1,male,40.0,0,0,Man,Adults,"(30, 40]"
186,1,3,female,21.5,1,0,Woman,Adults,"(20, 30]"
187,1,1,male,45.0,0,0,Man,Seniors,"(40, 50]"
188,0,3,male,40.0,1,1,Man,Adults,"(30, 40]"
189,0,3,male,36.0,0,0,Man,Adults,"(30, 40]"
190,1,2,female,32.0,0,0,Woman,Adults,"(30, 40]"
191,0,2,male,19.0,0,0,Man,Adults,"(10, 20]"
192,1,3,female,19.0,1,0,Woman,Adults,"(10, 20]"
193,1,2,male,3.0,1,1,child,Childs,"(0, 10]"
194,1,1,female,44.0,0,0,Woman,Seniors,"(40, 50]"
195,1,1,female,58.0,0,0,Woman,Seniors,"(50, 60]"
196,0,3,male,25.0,0,0,Man,Adults,"(20, 30]"
197,0,3,male,42.0,0,1,Man,Seniors,"(40, 50]"
198,1,3,female,21.5,0,0,Woman,Adults,"(20, 30]"
199,0,2,female,24.0,0,0,Woman,Adults,"(20, 30]"
200,0,3,male,28.0,0,0,Man,Adults,"(20, 30]"
201,0,3,male,25.0,8,2,Man,Adults,"(20, 30]"
202,0,3,male,34.0,0,0,Man,Adults,"(30, 40]"
203,0,3,male,45.5,0,0,Man,Seniors,"(40, 50]"
204,1,3,male,18.0,0,0,Man,Childs,"(10, 20]"
205,0,3,female,2.0,0,1,child,Childs,"(0, 10]"
206,0,3,male,32.0,1,0,Man,Adults,"(30, 40]"
207,1,3,male,26.0,0,0,Man,Adults,"(20, 30]"
208,1,3,female,16.0,0,0,child,Childs,"(10, 20]"
209,1,1,male,40.0,0,0,Man,Adults,"(30, 40]"
210,0,3,male,24.0,0,0,Man,Adults,"(20, 30]"
211,1,2,female,35.0,0,0,Woman,Adults,"(30, 40]"
212,0,3,male,22.0,0,0,Man,Adults,"(20, 30]"
213,0,2,male,30.0,0,0,Man,Adults,"(20, 30]"
214,0,3,male,25.0,1,0,Man,Adults,"(20, 30]"
215,1,1,female,31.0,1,0,Woman,Adults,"(30, 40]"
216,1,3,female,27.0,0,0,Woman,Adults,"(20, 30]"
217,0,2,male,42.0,1,0,Man,Seniors,"(40, 50]"
218,1,1,female,32.0,0,0,Woman,Adults,"(30, 40]"
219,0,2,male,30.0,0,0,Man,Adults,"(20, 30]"
220,1,3,male,16.0,0,0,child,Childs,"(10, 20]"
221,0,2,male,27.0,0,0,Man,Adults,"(20, 30]"
222,0,3,male,51.0,0,0,Man,Seniors,"(50, 60]"
223,0,3,male,25.0,0,0,Man,Adults,"(20, 30]"
224,1,1,male,38.0,1,0,Man,Adults,"(30, 40]"
225,0,3,male,22.0,0,0,Man,Adults,"(20, 30]"
226,1,2,male,19.0,0,0,Man,Adults,"(10, 20]"
227,0,3,male,20.5,0,0,Man,Adults,"(20, 30]"
228,0,2,male,18.0,0,0,Man,Childs,"(10, 20]"
229,0,3,female,21.5,3,1,Woman,Adults,"(20, 30]"
230,1,1,female,35.0,1,0,Woman,Adults,"(30, 40]"
231,0,3,male,29.0,0,0,Man,Adults,"(20, 30]"
232,0,2,male,59.0,0,0,Man,Seniors,"(50, 60]"
233,1,3,female,5.0,4,2,child,Childs,"(0, 10]"
234,0,2,male,24.0,0,0,Man,Adults,"(20, 30]"
235,0,3,female,21.5,0,0,Woman,Adults,"(20, 30]"
236,0,2,male,44.0,1,0,Man,Seniors,"(40, 50]"
237,1,2,female,8.0,0,2,child,Childs,"(0, 10]"
238,0,2,male,19.0,0,0,Man,Adults,"(10, 20]"
239,0,2,male,33.0,0,0,Man,Adults,"(30, 40]"
240,0,3,female,21.5,1,0,Woman,Adults,"(20, 30]"
241,1,3,female,21.5,1,0,Woman,Adults,"(20, 30]"
242,0,2,male,29.0,0,0,Man,Adults,"(20, 30]"
243,0,3,male,22.0,0,0,Man,Adults,"(20, 30]"
244,0,3,male,30.0,0,0,Man,Adults,"(20, 30]"
245,0,1,male,44.0,2,0,Man,Seniors,"(40, 50]"
246,0,3,female,25.0,0,0,Woman,Adults,"(20, 30]"
247,1,2,female,24.0,0,2,Woman,Adults,"(20, 30]"
248,1,1,male,37.0,1,1,Man,Adults,"(30, 40]"
249,0,2,male,54.0,1,0,Man,Seniors,"(50, 60]"
250,0,3,male,25.0,0,0,Man,Adults,"(20, 30]"
251,0,3,female,29.0,1,1,Woman,Adults,"(20, 30]"
252,0,1,male,62.0,0,0,Man,Seniors,"(60, 70]"
253,0,3,male,30.0,1,0,Man,Adults,"(20, 30]"
254,0,3,female,41.0,0,2,Woman,Seniors,"(40, 50]"
255,1,3,female,29.0,0,2,Woman,Adults,"(20, 30]"
256,1,1,female,35.0,0,0,Woman,Adults,"(30, 40]"
257,1,1,female,30.0,0,0,Woman,Adults,"(20, 30]"
258,1,1,female,35.0,0,0,Woman,Adults,"(30, 40]"
259,1,2,female,50.0,0,1,Woman,Seniors,"(40, 50]"
260,0,3,male,25.0,0,0,Man,Adults,"(20, 30]"
261,1,3,male,3.0,4,2,child,Childs,"(0, 10]"
262,0,1,male,52.0,1,1,Man,Seniors,"(50, 60]"
263,0,1,male,40.0,0,0,Man,Adults,"(30, 40]"
264,0,3,female,21.5,0,0,Woman,Adults,"(20, 30]"
265,0,2,male,36.0,0,0,Man,Adults,"(30, 40]"
266,0,3,male,16.0,4,1,child,Childs,"(10, 20]"
267,1,3,male,25.0,1,0,Man,Adults,"(20, 30]"
268,1,1,female,58.0,0,1,Woman,Seniors,"(50, 60]"
269,1,1,female,35.0,0,0,Woman,Adults,"(30, 40]"
270,0,1,male,40.0,0,0,Man,Adults,"(30, 40]"
271,1,3,male,25.0,0,0,Man,Adults,"(20, 30]"
272,1,2,female,41.0,0,1,Woman,Seniors,"(40, 50]"
273,0,1,male,37.0,0,1,Man,Adults,"(30, 40]"
274,1,3,female,21.5,0,0,Woman,Adults,"(20, 30]"
275,1,1,female,63.0,1,0,Woman,Seniors,"(60, 70]"
276,0,3,female,45.0,0,0,Woman,Seniors,"(40, 50]"
277,0,2,male,30.0,0,0,Man,Adults,"(20, 30]"
278,0,3,male,7.0,4,1,child,Childs,"(0, 10]"
279,1,3,female,35.0,1,1,Woman,Adults,"(30, 40]"
280,0,3,male,65.0,0,0,Man,Seniors,"(60, 70]"
281,0,3,male,28.0,0,0,Man,Adults,"(20, 30]"
282,0,3,male,16.0,0,0,child,Childs,"(10, 20]"
283,1,3,male,19.0,0,0,Man,Adults,"(10, 20]"
284,0,1,male,40.0,0,0,Man,Adults,"(30, 40]"
285,0,3,male,33.0,0,0,Man,Adults,"(30, 40]"
286,1,3,male,30.0,0,0,Man,Adults,"(20, 30]"
287,0,3,male,22.0,0,0,Man,Adults,"(20, 30]"
288,1,2,male,42.0,0,0,Man,Seniors,"(40, 50]"
289,1,3,female,22.0,0,0,Woman,Adults,"(20, 30]"
290,1,1,female,26.0,0,0,Woman,Adults,"(20, 30]"
291,1,1,female,19.0,1,0,Woman,Adults,"(10, 20]"
292,0,2,male,36.0,0,0,Man,Adults,"(30, 40]"
293,0,3,female,24.0,0,0,Woman,Adults,"(20, 30]"
294,0,3,male,24.0,0,0,Man,Adults,"(20, 30]"
295,0,1,male,40.0,0,0,Man,Adults,"(30, 40]"
296,0,3,male,23.5,0,0,Man,Adults,"(20, 30]"
297,0,1,female,2.0,1,2,child,Childs,"(0, 10]"
298,1,1,male,40.0,0,0,Man,Adults,"(30, 40]"
299,1,1,female,50.0,0,1,Woman,Seniors,"(40, 50]"
300,1,3,female,21.5,0,0,Woman,Adults,"(20, 30]"
301,1,3,male,25.0,2,0,Man,Adults,"(20, 30]"
302,0,3,male,19.0,0,0,Man,Adults,"(10, 20]"
303,1,2,female,28.0,0,0,Woman,Adults,"(20, 30]"
304,0,3,male,25.0,0,0,Man,Adults,"(20, 30]"
305,1,1,male,0.92,1,2,child,Childs,"(0, 10]"
306,1,1,female,35.0,0,0,Woman,Adults,"(30, 40]"
307,1,1,female,17.0,1,0,child,Childs,"(10, 20]"
308,0,2,male,30.0,1,0,Man,Adults,"(20, 30]"
309,1,1,female,30.0,0,0,Woman,Adults,"(20, 30]"
310,1,1,female,24.0,0,0,Woman,Adults,"(20, 30]"
311,1,1,female,18.0,2,2,Woman,Childs,"(10, 20]"
312,0,2,female,26.0,1,1,Woman,Adults,"(20, 30]"
313,0,3,male,28.0,0,0,Man,Adults,"(20, 30]"
314,0,2,male,43.0,1,1,Man,Seniors,"(40, 50]"
315,1,3,female,26.0,0,0,Woman,Adults,"(20, 30]"
316,1,2,female,24.0,1,0,Woman,Adults,"(20, 30]"
317,0,2,male,54.0,0,0,Man,Seniors,"(50, 60]"
318,1,1,female,31.0,0,2,Woman,Adults,"(30, 40]"
319,1,1,female,40.0,1,1,Woman,Adults,"(30, 40]"
320,0,3,male,22.0,0,0,Man,Adults,"(20, 30]"
321,0,3,male,27.0,0,0,Man,Adults,"(20, 30]"
322,1,2,female,30.0,0,0,Woman,Adults,"(20, 30]"
323,1,2,female,22.0,1,1,Woman,Adults,"(20, 30]"
324,0,3,male,25.0,8,2,Man,Adults,"(20, 30]"
325,1,1,female,36.0,0,0,Woman,Adults,"(30, 40]"
326,0,3,male,61.0,0,0,Man,Seniors,"(60, 70]"
327,1,2,female,36.0,0,0,Woman,Adults,"(30, 40]"
328,1,3,female,31.0,1,1,Woman,Adults,"(30, 40]"
329,1,1,female,16.0,0,1,child,Childs,"(10, 20]"
330,1,3,female,21.5,2,0,Woman,Adults,"(20, 30]"
331,0,1,male,45.5,0,0,Man,Seniors,"(40, 50]"
332,0,1,male,38.0,0,1,Man,Adults,"(30, 40]"
333,0,3,male,16.0,2,0,child,Childs,"(10, 20]"
334,1,1,female,35.0,1,0,Woman,Adults,"(30, 40]"
335,0,3,male,25.0,0,0,Man,Adults,"(20, 30]"
336,0,1,male,29.0,1,0,Man,Adults,"(20, 30]"
337,1,1,female,41.0,0,0,Woman,Seniors,"(40, 50]"
338,1,3,male,45.0,0,0,Man,Seniors,"(40, 50]"
339,0,1,male,45.0,0,0,Man,Seniors,"(40, 50]"
340,1,2,male,2.0,1,1,child,Childs,"(0, 10]"
341,1,1,female,24.0,3,2,Woman,Adults,"(20, 30]"
342,0,2,male,28.0,0,0,Man,Adults,"(20, 30]"
343,0,2,male,25.0,0,0,Man,Adults,"(20, 30]"
344,0,2,male,36.0,0,0,Man,Adults,"(30, 40]"
345,1,2,female,24.0,0,0,Woman,Adults,"(20, 30]"
346,1,2,female,40.0,0,0,Woman,Adults,"(30, 40]"
347,1,3,female,21.5,1,0,Woman,Adults,"(20, 30]"
348,1,3,male,3.0,1,1,child,Childs,"(0, 10]"
349,0,3,male,42.0,0,0,Man,Seniors,"(40, 50]"
350,0,3,male,23.0,0,0,Man,Adults,"(20, 30]"
351,0,1,male,40.0,0,0,Man,Adults,"(30, 40]"
352,0,3,male,15.0,1,1,child,Childs,"(10, 20]"
353,0,3,male,25.0,1,0,Man,Adults,"(20, 30]"
354,0,3,male,25.0,0,0,Man,Adults,"(20, 30]"
355,0,3,male,28.0,0,0,Man,Adults,"(20, 30]"
356,1,1,female,22.0,0,1,Woman,Adults,"(20, 30]"
357,0,2,female,38.0,0,0,Woman,Adults,"(30, 40]"
358,1,3,female,21.5,0,0,Woman,Adults,"(20, 30]"
359,1,3,female,21.5,0,0,Woman,Adults,"(20, 30]"
360,0,3,male,40.0,1,4,Man,Adults,"(30, 40]"
361,0,2,male,29.0,1,0,Man,Adults,"(20, 30]"
362,0,3,female,45.0,0,1,Woman,Seniors,"(40, 50]"
363,0,3,male,35.0,0,0,Man,Adults,"(30, 40]"
364,0,3,male,25.0,1,0,Man,Adults,"(20, 30]"
365,0,3,male,30.0,0,0,Man,Adults,"(20, 30]"
366,1,1,female,60.0,1,0,Woman,Seniors,"(50, 60]"
367,1,3,female,21.5,0,0,Woman,Adults,"(20, 30]"
368,1,3,female,21.5,0,0,Woman,Adults,"(20, 30]"
369,1,1,female,24.0,0,0,Woman,Adults,"(20, 30]"
370,1,1,male,25.0,1,0,Man,Adults,"(20, 30]"
371,0,3,male,18.0,1,0,Man,Childs,"(10, 20]"
372,0,3,male,19.0,0,0,Man,Adults,"(10, 20]"
373,0,1,male,22.0,0,0,Man,Adults,"(20, 30]"
374,0,3,female,3.0,3,1,child,Childs,"(0, 10]"
375,1,1,female,35.0,1,0,Woman,Adults,"(30, 40]"
376,1,3,female,22.0,0,0,Woman,Adults,"(20, 30]"
377,0,1,male,27.0,0,2,Man,Adults,"(20, 30]"
378,0,3,male,20.0,0,0,Man,Adults,"(10, 20]"
379,0,3,male,19.0,0,0,Man,Adults,"(10, 20]"
380,1,1,female,42.0,0,0,Woman,Seniors,"(40, 50]"
381,1,3,female,1.0,0,2,child,Childs,"(0, 10]"
382,0,3,male,32.0,0,0,Man,Adults,"(30, 40]"
383,1,1,female,35.0,1,0,Woman,Adults,"(30, 40]"
384,0,3,male,25.0,0,0,Man,Adults,"(20, 30]"
385,0,2,male,18.0,0,0,Man,Childs,"(10, 20]"
386,0,3,male,1.0,5,2,child,Childs,"(0, 10]"
387,1,2,female,36.0,0,0,Woman,Adults,"(30, 40]"
388,0,3,male,25.0,0,0,Man,Adults,"(20, 30]"
389,1,2,female,17.0,0,0,child,Childs,"(10, 20]"
390,1,1,male,36.0,1,2,Man,Adults,"(30, 40]"
391,1,3,male,21.0,0,0,Man,Adults,"(20, 30]"
392,0,3,male,28.0,2,0,Man,Adults,"(20, 30]"
393,1,1,female,23.0,1,0,Woman,Adults,"(20, 30]"
394,1,3,female,24.0,0,2,Woman,Adults,"(20, 30]"
395,0,3,male,22.0,0,0,Man,Adults,"(20, 30]"
396,0,3,female,31.0,0,0,Woman,Adults,"(30, 40]"
397,0,2,male,46.0,0,0,Man,Seniors,"(40, 50]"
398,0,2,male,23.0,0,0,Man,Adults,"(20, 30]"
399,1,2,female,28.0,0,0,Woman,Adults,"(20, 30]"
400,1,3,male,39.0,0,0,Man,Adults,"(30, 40]"
401,0,3,male,26.0,0,0,Man,Adults,"(20, 30]"
402,0,3,female,21.0,1,0,Woman,Adults,"(20, 30]"
403,0,3,male,28.0,1,0,Man,Adults,"(20, 30]"
404,0,3,female,20.0,0,0,Woman,Adults,"(10, 20]"
405,0,2,male,34.0,1,0,Man,Adults,"(30, 40]"
406,0,3,male,51.0,0,0,Man,Seniors,"(50, 60]"
407,1,2,male,3.0,1,1,child,Childs,"(0, 10]"
408,0,3,male,21.0,0,0,Man,Adults,"(20, 30]"
409,0,3,female,21.5,3,1,Woman,Adults,"(20, 30]"
410,0,3,male,25.0,0,0,Man,Adults,"(20, 30]"
411,0,3,male,25.0,0,0,Man,Adults,"(20, 30]"
412,1,1,female,33.0,1,0,Woman,Adults,"(30, 40]"
413,0,2,male,30.0,0,0,Man,Adults,"(20, 30]"
414,1,3,male,44.0,0,0,Man,Seniors,"(40, 50]"
415,0,3,female,21.5,0,0,Woman,Adults,"(20, 30]"
416,1,2,female,34.0,1,1,Woman,Adults,"(30, 40]"
417,1,2,female,18.0,0,2,Woman,Childs,"(10, 20]"
418,0,2,male,30.0,0,0,Man,Adults,"(20, 30]"
419,0,3,female,10.0,0,2,child,Childs,"(0, 10]"
420,0,3,male,25.0,0,0,Man,Adults,"(20, 30]"
421,0,3,male,21.0,0,0,Man,Adults,"(20, 30]"
422,0,3,male,29.0,0,0,Man,Adults,"(20, 30]"
423,0,3,female,28.0,1,1,Woman,Adults,"(20, 30]"
424,0,3,male,18.0,1,1,Man,Childs,"(10, 20]"
425,0,3,male,25.0,0,0,Man,Adults,"(20, 30]"
426,1,2,female,28.0,1,0,Woman,Adults,"(20, 30]"
427,1,2,female,19.0,0,0,Woman,Adults,"(10, 20]"
428,0,3,male,25.0,0,0,Man,Adults,"(20, 30]"
429,1,3,male,32.0,0,0,Man,Adults,"(30, 40]"
